College Name,Overall_Performance_Score,Placement_Rate,Avg_Doc_DSS,Fund_Utilization,Infrastructure_Quality
National Institute Of Pharmaceutical Education And Research Sas Nagar,79.20742238185323,98.8886149268874,95.17145778342784,90.74597755783802,20.0
Indian Institute Of Technology Gandhinagar,79.15737429109592,98.51271941760884,90.838439154914,97.11374774177644,20.0
Dr B R Ambedkar National Institute Of Technology Jalandhar,79.0958608704199,95.38365700543336,94.2669349058319,96.91723519280544,20.0
National Institute Of Aeronautical Engineering Research And Management,79.05003311728494,94.29425364611586,90.41539398033358,99.74982023528752,20.0
Malaviya National Institute Of Technology Jaipur,78.98964388370067,95.48663431406392,99.17488054095972,95.92567414260913,20.0
Indian Institute Of Technology Banaras Hindu University Varanasi,78.8638905752798,95.52145197367108,92.36909512061186,98.91942457296524,20.0
Navsari Agricultural University,78.80971303823736,69.6652227887224,73.60210119747424,77.97876580144836,76.10837438423644
Indian Institute Of Technology Indian School Of Mines Dhanbad,78.79525938050334,97.61676264437288,94.29839533529348,99.76557834218352,20.0
National Institute Of Technology Jamshedpur,78.75278215416226,97.9285887349846,92.83229058241824,93.970125635163,20.0
Satyam International Institute Of Technology,78.7208382851402,97.47826345119752,97.66911586057827,91.110480381618,20.0
Dr Shyama Prasad Mukherjee International Institute Of Information Technology,78.71931571716203,94.73668872236344,94.51016073027516,93.45306583576422,20.0
Maa Buddha National Institute Of Engineering And Technology,78.3940657902013,95.75788158423528,95.42090320438554,95.31027252927665,20.0
National Institute Of Industrial Engineering,78.19195914461537,98.71690542487518,91.23216111110447,90.79949169720987,20.0
Sardar Vallabhbhai National Institute Of Technology Surat,78.18555965406577,97.17845477140489,99.8528686894691,91.15542266527552,20.0
National Institute Of Food Technology Entrepreneurship And Management,78.18021244071167,93.22838027444936,98.9787821472362,95.58006710306068,20.0
Indian Institute Of Technology Indore,78.10514631179615,92.85097321610353,97.12203261442102,90.53760108697983,20.0
National Institute Of Technology Puducherry Karaikal,78.08538569610229,94.50137730568304,96.45410114421446,92.83985265063596,20.0
National Institute Of Science And Technology,78.05497629922492,94.78050124640993,92.8035165419937,91.26345366396043,20.0
National Institute Of Technology Patna,77.96374307117213,98.80515403521932,90.78923031069736,96.3499152540441,20.0
National Institute Of Technology Meghalaya,77.89939779488921,96.05598666690356,90.36591660037853,90.95375719487924,20.0
Maulana Azad National Institute Of Technology Bhopal,77.86808423898984,97.2345515872578,99.37839918871424,90.06806471608041,20.0
National Institute Of Technology Agartala,77.77766694958818,95.71911398425866,99.010294906872,98.36963237842998,20.0
National Institute Of Technology Delhi,77.76003897058445,95.02466099273778,91.31403099755276,92.31822793037412,20.0
National Institute Of Foundry And Forge Technology,77.75428369310208,96.08768513771014,90.89431319616608,93.53444290738662,20.0
National Institute Of Technology Hamirpur,77.69389684467461,97.41367870349228,90.49520944239372,98.35030927622596,20.0
National Institute Of Technology Kurukshetra,77.47649218687282,97.44623850875932,91.9241825058276,94.67487999284768,20.0
National Institute Of Technology Srinagar,77.31339145521949,98.54299623777304,95.98391629945988,92.62239423922838,20.0
Indian Institute Of Technology Jodhpur,77.03299313257583,94.56682577065112,90.49279823167946,90.74163708063774,20.0
International Institute Of Information Technology,76.92863209680206,93.15904138641574,93.85010013038556,90.45639711505513,20.0
The National Institute Of Engineering,75.74390966650964,93.08559794307182,91.85529670209112,92.63401089316164,20.0
Mother India Polytechnic College,75.70688446513724,73.90206719327651,41.09298773021186,60.10681435530709,100.0
Minerva Polytechnic College,74.91018434588334,46.4923616456656,77.33699053353213,52.15707041373351,100.0
Sankalchand Patel University,74.39080548839124,68.35091798043464,54.19573231203388,84.88117492748347,68.84615384615384
Amity School Of Distance Learning,73.74661111738436,74.94746644565757,66.94322284352504,68.4271579232306,64.63054187192118
Trimurti Institute Of Technology Polytechnic,73.65224015011286,57.50584360284906,72.96462267731562,83.69579910301754,60.90909090909091
National Dairy Research Institute,73.3507112917526,42.88221967022381,82.05269813398962,82.69517962068048,71.25475285171103
Safa College Of Engineering And Technology,73.18761839703784,55.39114973878425,47.00543857591291,66.41990447601074,100.0
Bharat Engineering College,72.61878579046397,79.45380767050102,83.53586344934227,83.61686349275959,20.0
Assam Science And Technology University,72.48974117995738,55.53649894104522,60.41215392243064,73.59096398272008,77.5
Kalka Engineering College,72.29449507619584,63.806207859487785,49.342590978095394,58.78505499358767,88.33333333333334
Vindhya Institute Of Technology And Science,72.16704947790696,78.07095788492387,82.99413145294548,84.77491427162954,20.0
Pm College Of Architecture,72.095103761751,73.3931621730465,50.61470324435237,69.35139032303258,67.14285714285714
Sdncres'S Late Narayandas Bhawandas Chhabada Institute Of Engineering And Technology,71.65858448193731,61.12890009776935,70.28668972040481,73.90458786720444,60.0
Hon Shri Babanrao Pachpute Vichardhara Trust'S Group Of Institutions,71.61161269005488,77.31547442554074,48.19988719044994,61.34401117978662,67.84810126582279
Charotar University Of Science And Technology,71.39492669276459,62.53600023035613,61.476265297635926,69.16583991574936,65.58139534883722
Ghani Khan Choudhury Institute Of Engineering And Technology,71.28926204613309,79.96355218932953,81.73241719969134,80.58249619886783,20.0
Dr Nallini Institute Of Engineering And Technology,71.2267355009583,66.50543258975796,46.76445746792551,65.15668080064204,77.5
Seshachala Institute Of Engineering And Technology,71.16394348102699,76.08070882998823,84.75373308304182,82.46554167416318,20.0
Amani Group Of Institutions,71.0274944159364,79.71085794564543,82.99799430420585,79.49828314795099,20.0
Avn Institute Of Engineering And Technology,70.81302521467948,75.61625020167236,84.98566350696841,80.44728747174969,20.0
Aj Institute Of Engineering And Technology,70.7638984834216,77.99597174663225,82.47744245780078,80.95484386008603,20.0
Ghanshyam Hemlata Institute Of Technology And Management,70.56913528164588,54.37508491219065,50.58070547407044,77.39490882796306,76.74418604651163
Itm- School Of Architecture Art And Design,70.52549158817965,79.92482572340253,76.83789881268021,83.08279787004838,20.0
Mahant Bachittar Singh College Of Engineering And Technology,70.37206895950062,77.94020073508665,84.52526009282619,80.56254810733951,20.0
Unnati Management College And Technology,70.36933475737199,79.14913035530131,79.93468826088476,81.30076344246477,20.0
Gurgaon College Of Engineering,70.33182201611064,79.32066157069676,82.38960576760252,80.97740857939601,20.0
Turbomachinery Institute Of Technology And Sciences,70.31747589626522,79.81901042866718,82.51725165601161,72.05987040156853,20.0
Am Reddy Memorial College Of Engineering And Technology,70.29433067138183,75.07061146365933,78.24380847598874,84.53041467202814,20.0
Csir-Central Electrochemical Research Institute,70.19097345560326,52.71555886772372,68.70026304332241,75.07837381155187,61.95804195804196
Saintgits College Of Engineering,70.12322509761644,77.66259193881943,83.15708052403122,75.76483656660653,20.0
Centurion Institute Of Technology,70.01618548978746,77.33291301860922,81.72863381527785,72.67412907312321,20.0
Tsm Jain College Of Technology,70.0102253049903,74.70863209126492,81.79426388073088,79.58809670685265,20.0
Faculty Of Engineering And Technology,69.97882332615224,78.72271214506101,78.63042761455766,73.67410542782058,20.0
Smt Premalatai Chavan Polytechnic,69.96572982590648,78.09944322025443,83.5254026867633,80.15671854490554,20.0
Abha Gaikwad-Patil College Of Engineering,69.9509183237703,72.94473285346803,84.15060262385032,77.99484305186233,20.0
Asifia College Of Engineering And Technology,69.90514886358635,78.06223491966261,76.54411049978165,81.01810152289222,20.0
Bharat Institute Of Polytechnic,69.82928896625272,79.98406975217459,70.52136569164296,80.14131314293843,20.0
Punjabi University Regional Centre For Information Technology And Management,69.71570137083333,77.90861293635281,75.64486807704483,77.67167327949592,20.0
Nibedita Institute Of Technology,69.71500972437363,79.42411486946517,77.06312239257838,80.58791062567427,20.0
World Institute Of Technology,69.66702483290048,78.08174933442086,74.53941334599776,77.56968531716923,20.0
Avs College Of Technology,69.6638018119582,75.30553764478108,84.71773345223656,75.07218154703168,20.0
Dr Pauls Engineering College,69.62922900926402,73.51709294944934,83.76087988850358,74.84234148514935,20.0
Sri Parashuram Institute Of Technology And Research,69.61552676185735,74.45322306767206,76.50992779785244,78.90353035343934,20.0
Dpg Institute Of Technology And Management,69.6074825192589,78.01509497198414,73.51155804158998,84.39026683391816,20.0
Gyan Sagar College Of Engineering,69.60419264302058,77.77982101760682,75.03723026920831,84.03562164897009,20.0
Ganpati Institute Of Technology And Management,69.59859807766082,75.94240088497247,79.56541146468984,78.69784978827758,20.0
Bn College Of Engineering And Technology,69.56451948080792,79.94534310896557,76.69486561064255,81.58931715538625,20.0
Army Institute Of Technology,69.45296165721685,76.27482485548049,81.14183241177332,83.59481529550263,20.0
Bharathiar College Of Engineering And Technology,69.45082993960393,78.64908804689075,74.39506944836353,78.48291413313031,20.0
Bapatla Engineering College,69.43041021330286,75.47566793304313,83.83372632178761,80.84195536084299,20.0
Cambridge Institute Of Technology,69.423520635363,75.81309429913202,75.9705180789636,78.85682931445487,20.0
Matha College Of Technology,69.3978557798695,79.08782418320243,72.21679464405412,84.76520828277684,20.0
Harshith Group Of Institutions,69.3814996208879,76.01534494473725,53.2035665258197,51.91721993954693,60.0
Megha Institute Of Engineering And Technology For Women,69.36333317215556,77.1636020228382,75.76477943966086,76.32737605428981,20.0
Ilm College Of Engineering And Technology,69.35827988795259,73.39125797728457,82.50848425744425,73.74569974597125,20.0
Rte Society'S Rural Engineering College,69.33774897440628,70.00721413721101,84.89909787425276,82.39948889071607,20.0
Siddaganga Institute Of Technology,69.3130219629968,76.90920175095772,84.34243928863066,76.24702324900704,20.0
Kiet School Of Engineering,69.28435040175194,76.62118073810593,77.73778149849636,84.89212151418022,20.0
St Judes Polytechnic College,69.2728233754029,75.68606086740098,84.38142556389488,76.05570919404673,20.0
Modern Engineering And Management Studies,69.25892357528997,78.97480024864254,81.132758012667,82.3867016261951,20.0
Carmel College Of Engineering And Technology,69.23175020380516,79.03960553466874,77.28511204147996,78.99739347025088,20.0
S Padmavathy Polytechnic College,69.17647125649134,68.08523024116732,52.795619130513685,59.00913669583179,64.21052631578948
Bhai Maha Singh College Of Engineering,69.17435037050986,66.95082133062884,84.15242770282546,83.88420057015227,20.0
Jaya Sakthi Engineering College,69.16434508928565,68.48900416189952,80.18529134731224,83.93379861969173,20.0
Annai Jkk Sampoorani Ammal Polytechnic College,69.15682118539077,78.23368584426677,73.68203923029948,81.7033480183197,20.0
Shri Yogindra Sagar Institute Of Technology And Science,69.11884453455815,70.62811380698523,82.02679104524917,81.54561659431081,20.0
Mnsk College Of Engineering,69.09893244758021,78.61849734764738,84.55052382151584,59.732784213863184,20.0
Bahubali College Of Engineering,69.09849797696012,70.68682419202233,82.87885012441589,82.3830310173958,20.0
Dev Bhoomi Group Of Institutions,69.07606605845857,63.50519362424114,83.89568390019909,83.37057749713904,20.0
Arya Institute Of Engineering And Technology,69.0268549416168,79.79347802164338,71.45504962265433,82.40052167600749,20.0
Shekhawati Engineering College,69.01715600067362,78.57871669051487,80.43030142279106,71.66319737699835,20.0
Guru Nanak Institute Of Engineering And Management,69.0149062701312,76.36758799769945,83.44878156012693,65.11057528009528,20.0
Birbhum Institute Of Engineering And Technology,68.99182659692971,72.97514796056947,84.90527259024327,72.3199244864539,20.0
Grow More School Of Architecture,68.98253849100547,70.08837045436204,41.34612131140543,70.52946254852672,64.21052631578948
Alpha College Of Engineering And Technology,68.92631884466653,75.01631268344072,74.0758506568521,79.5243682792632,20.0
Maharishi Markandeshwar Group Of Institutions,68.88640526609336,72.29472369180687,80.56711664842547,81.78922092706948,20.0
Buchepalli Venkayamma Subbareddy Engineering College,68.86576575728323,77.48095377218718,82.67469669095286,69.7994753958613,20.0
Centurion University Of Technology And Management,68.84135733452578,76.1591335862533,71.05846535602647,83.39098915839975,20.0
Apex Institute Of Technology,68.83827865101017,77.65235512682959,76.83268624146218,71.39699118905338,20.0
Vks College Of Engineering And Technology,68.83656749288744,71.54776488143732,81.57234294065381,74.69903102729539,20.0
Nc College Of Engineering,68.8165442114336,70.9907995703638,75.17414027185472,84.6616615958806,20.0
Alpine Institute Of Technology,68.81594341147361,68.56794674749979,77.53769582115547,81.88803921023629,20.0
Swaminarayan College Of Engineering And Technology,68.81532436459013,75.33462034019561,83.37775166043808,65.91139776502118,20.0
Azad Polytechnic,68.79502436836731,73.48706227085985,81.04762074670282,74.71337881710409,20.0
Brahmdevdada Mane Polytechnic,68.78726121797895,79.84758426735571,79.59227644933614,64.07075709984333,20.0
Konark Institute Of Science And Technology,68.70716685801659,77.13510558024964,76.56849080872996,75.56169136477973,20.0
Nadimpalli Satyanarayana Raju Institute Of Technology,68.69793141110323,68.51084694328677,83.02870383683768,78.40371559524368,20.0
Asn Women'S Engineering College,68.67738792525277,74.12198889967911,79.50547707686951,79.24249996736016,20.0
Gsss Institute Of Engineering And Technology For Women,68.66526406725562,78.03993929800001,82.24818733080278,72.73679883583705,20.0
Jk Institute Of Engineering,68.58698073544221,77.5003390330607,80.17590850905196,67.57809516911085,20.0
Kopal Institute Of Science And Technology,68.58467596531904,70.21418521157095,83.37281468827217,77.12564951017494,20.0
Arkay College Of Engineering And Technology,68.5585434100127,78.8565782815374,65.77646450243891,81.85805590415836,20.0
Sjvp Polytechnic,68.5224739768661,74.93754917404013,81.77399597389476,70.88858325718073,20.0
Dhirajlal Gandhi College Of Technology,68.51028896126738,72.37805967928395,77.37497691747706,84.43296883078435,20.0
Poornima Group Of Institutions,68.50623499342096,74.00508297004555,81.0596150852592,74.5405028126128,20.0
Sri Vaishnavi College Of Engineering,68.49265445584862,71.42650575052194,77.30197815268133,84.89737831104154,20.0
Raj Kumar Goel Engineering College,68.45304731013455,69.5688135203232,84.50616877631246,73.27018699458263,20.0
Malhotra Technical Research Institute,68.41104090726175,76.86494953630725,73.79996212574113,77.58516040666453,20.0
Vision Institute Of Technology,68.33271123765326,71.31946316199304,84.36122879664873,70.59826315180989,20.0
Saraswati Polytechnic College,68.3203922048531,69.57746718547324,84.97366006579114,72.07013632311102,20.0
Mahendra College Of Engineering,68.3143678157057,76.7872022097405,78.80170158530841,69.02203585054289,20.0
Uttaranchal Institute Of Technology,68.2676094076204,65.03282161580034,83.39288523304658,80.28738439210254,20.0
Suraj College Of Engineering And Technology,68.26386848170961,76.54969532076242,76.07991624625342,66.46278878912058,20.0
Datta Meghe Institute Of Engineering Technology And Research,68.26123987721604,71.37227011067024,78.1115004232942,82.51049346183736,20.0
Government Polytechnic For Women,68.23546863442232,79.0476530595779,81.94922175700938,68.66389355999321,20.0
College Of Advanced Technology,68.23126826168291,68.27366323771264,77.25260085862895,83.60726966975743,20.0
Vif College Of Engineering And Technology,68.22903988766896,73.85835801266269,71.09566470248701,80.20629570213914,20.0
Savitribai Phule Pune University,68.21413179099105,75.48095724323747,77.23484026543767,76.58526229659782,20.0
Dr Tma Pai Polytechnic,68.21013261680035,70.1918200877843,82.27017068661576,78.73347594535618,20.0
Pydah College Of Engineering,68.20020876001946,66.34442177061246,78.14407124708438,83.96541918315523,20.0
Vijay Pratap Institute Of Technology,68.19432796250386,67.55923325982576,84.3665467444984,82.90892335850631,20.0
Bhawani Institute Of Technical Education,68.18330977297867,64.18613977074364,83.2858008788823,78.98121481389244,20.0
Laxmi Institute Of Technology,68.18182308897738,71.25739048682698,73.81636737350496,80.65505893409917,20.0
Professional Institute Of Engineering And Technology,68.17224534485847,76.47623115622214,73.54308360101099,78.14436112622711,20.0
Ldrp Institute Of Technology And Research,68.17218867813098,78.9914925940195,80.11979901102758,60.05730285196744,20.0
Bengal Institute Of Technology And Management,68.14188463048843,72.97197283660121,83.63180980193646,69.0613075174501,20.0
Mayurakshi Institute Of Engineering And Technology,68.13960680854825,74.15776602717729,68.29909914724293,82.28185226303407,20.0
Sdm College Of Engineering And Technology,68.12973146488775,77.72484131423668,75.48596810278727,79.6286626888089,20.0
Malabar Institute Of Technology,68.10861098630413,79.41765733149933,84.55395757303222,55.78495842107651,20.0
Punjab College Of Engineering And Technology,68.0919392430847,71.28833267464861,78.67263448885684,74.36624679858944,20.0
Maharaja College Of Engineering,68.06038033249004,74.37602068553849,79.94856720498431,83.22712751677307,20.0
Green Hills Polytechnic,68.05304801658163,70.69508962344969,79.38682252577156,78.95550164652684,20.0
Warangal Institute Of Technology And Science,68.03990865213731,73.76510002466176,81.21655148383496,66.43386297843907,20.0
Erode Kongu College Of Polytechnic,68.03797914859221,72.71447058387702,84.40872725862468,66.04646189819246,20.0
Rr Institute Of Modern Technology,68.03725138515726,72.98499813659673,84.1298755698533,68.25899808370212,20.0
Anu College Of Engineering And Technology,68.03599541515665,73.74104886800632,75.4367187034847,79.97662986859456,20.0
Mspvl Polytechnic College,68.02767353347943,74.67838585577135,82.99284888278194,73.73594832488273,20.0
Neelkanth Institute Of Technology,68.00779092253799,79.06282719410575,77.73259835790363,62.3331372179935,20.0
Indo German Tool Room,67.9886173582805,73.84769678199358,75.81830418688472,78.55910439158987,20.0
Skn Sinhgad College Of Engineering,67.96124220143646,74.84916867124241,72.88680376191942,83.46623558147746,20.0
Aditya Polytechnic,67.94043437865886,76.99876949988169,65.74614963881466,80.4037312998208,20.0
Sri Ramakrishna Institute Of Technology,67.93729890674497,72.51705063490515,84.17488013372737,70.5173711721244,20.0
Madha Institute Of Engineering And Technology,67.92358515659429,79.20922662461803,67.00340809003654,71.86109240417075,20.0
Bagula Mukhi College Of Technology,67.91910350754803,73.09052240379386,78.66235783435471,74.20320493651792,20.0
St Michael College Of Engineering And Technology,67.91668178346046,73.19618982978207,78.90440085785794,71.50734155654108,20.0
Thamirabharani Engineering College,67.89436561094243,70.14206350253653,83.46935091119317,71.1311625916694,20.0
Adhi College Of Engineering And Technology,67.87630905848083,77.24901198440841,79.94803567387781,68.76633813145239,20.0
Baldev Ram Mirdha Institute Of Technology,67.86803198258127,62.32574178093024,82.44780178123719,82.92276994297407,20.0
Devasya Polytechnic,67.86301173519709,71.77652289828481,69.14174577814327,82.30513300156885,20.0
Sandipani Technical Campus Faculty Of Engineering And Polytechnic,67.8548716120365,69.13798403621605,83.55039418511528,82.31047517175571,20.0
Sd Shanti Niketan Institute Of Engineering And Technology,67.85117578681393,48.5775272351633,62.89008069457878,60.73914002034459,70.52631578947368
Baldev Ram Mirdha Institute Of Technology East Campus,67.84766622588478,75.7362506665331,70.67111850407757,76.63176315880406,20.0
Bhubaneswar Engineering College,67.84399013358635,78.6921473707595,73.78396794993023,72.3848616981081,20.0
Geethanjali College Of Engineering And Technology,67.80830195019287,79.26969366734791,78.92603083760108,66.0754226098447,20.0
Banaras Hindu University,67.76067257663293,79.8216342038867,68.29281264026513,82.81931861094685,20.0
Thanapandiyan Polytechnic College,67.7585364242639,79.46831627951477,71.75909460938945,67.33092288338206,20.0
Ves Ahinsa Polytechnic,67.75619106087345,75.796443639333,77.86890012469385,76.7503027274686,20.0
Bajaj Institute Of Technology,67.74005772067817,77.38081346319052,83.00305035174074,76.00607300799366,20.0
Amity School Of Engineering And Technology,67.73278042163794,79.93441315852505,74.18497767492235,71.58658699090077,20.0
Mes College Of Engineering,67.73073631355517,75.58169406980095,68.6975092095412,77.42555521830226,20.0
Dsr College Of Polytechnic,67.71298897863053,75.78124845040928,84.47811856912327,75.0359099035793,20.0
Sva College Of Polytechnic,67.71149908990726,78.69897421308538,77.19542905788549,57.80952393538029,20.0
Mg Institute Of Management And Technology,67.70538771409323,71.34700766706857,75.5096204502118,80.75955953003975,20.0
Guntupalli Venkateswarlu Memorial Polytechnic,67.69902612199459,73.01150352040169,78.92715171536096,74.86534682950564,20.0
Thandra Paparaya Institute Of Science And Technology,67.68251575069397,78.00102272987976,65.4074270632287,80.14533531069279,20.0
Karur College Of Engineering,67.6825045226787,68.1431113730881,82.62391958863695,70.84912745512278,20.0
Hastinapur Institute Of Technology And Management,67.66354379458218,69.71889011934195,84.9971418831501,71.87373036522226,20.0
Mohandas College Of Engineering And Technology,67.66284006198188,75.96084310233324,77.09009078348558,69.23306258938621,20.0
University College Of Science,67.65853848878946,79.23265767032785,84.74462758170822,52.45410147688352,20.0
Nehru College Of Engineering And Research Centre,67.65711701120374,79.55907399849117,77.61509645789394,64.47886146668102,20.0
Kodada Institute Of Technology And Science For Women,67.65251412803597,66.489827119967,81.58638583363395,77.8963849415352,20.0
Gonna Institute Of Information Technology And Sciences,67.64477052384764,64.97708597432461,79.0201593061583,78.89478782033922,20.0
Ad Patel Institute Of Technology,67.63678121385169,71.30616536697326,78.96324175458051,82.73835942903108,20.0
Pulla Reddy Institute Of Technology,67.62856593911195,66.68562483081234,79.36621204750178,80.76685622013083,20.0
Jp Institute Of Engineering And Technology,67.61418202343461,76.24543778744078,84.41280468742065,57.32726978612744,20.0
Chamber Of Commerce Manali Ramakrishna Polytechnic College,67.59384433368058,70.70199407237749,71.72994600651535,81.14032949827096,20.0
Rathinam Technical Campus Institute Of Technology,67.58999288982139,79.24279078154166,69.9920074181435,74.05998857313777,20.0
Rimt Institute Of Engineering And Technology,67.58994331417689,75.56841136757222,70.34783331117401,76.12360966634473,20.0
Vignan'S Institute Of Management And Technology For Women,67.58865761983357,79.21412400211645,62.13601704227413,82.67883766582678,20.0
Blm Institute Of Technology And Management Sciences,67.58722621952359,76.8142333391083,78.10456505794699,73.14852455120615,20.0
Es Engineering College,67.57818448394077,74.01776281593332,82.61489301302251,60.59808363849325,20.0
Mahendra Engineering College,67.57316790887383,68.9222288963793,77.30471341847007,81.23049322660648,20.0
Institute Of Aeronautical Engineering,67.57135909062674,75.52565312128758,74.43252270395931,79.01226564016966,20.0
Mnr College Of Engineering And Technology,67.56891270565791,43.44658163124241,48.50345449884656,69.67347228348297,83.33333333333333
Lingaya'S Vidyapeeth,67.56082751464191,71.22741021906874,80.46039121706708,75.99702916079313,20.0
Gandhi Institute Of Technology And Management,67.55372716864554,75.79519006509977,75.79916075449003,72.94167565084284,20.0
Ganapati Institute Of Engineering And Technology,67.55294562131978,78.30282700143447,71.66061031753863,76.36138477696228,20.0
Global College Of Engineering And Technology,67.53399486788516,75.50808932894455,78.07553078290007,69.69591686440806,20.0
Sri Venkateswara Institute Of Science And Technology,67.50580600650208,75.71213602799855,74.9941546625488,69.82039142701004,20.0
Ramakrishna Mission Shilpamandira,67.50026825470238,79.9232183107087,83.74275250801712,66.86781623120685,20.0
Rv Reha Polytechnic College,67.49374277245002,70.05300156263465,76.67592163961842,79.42304134677215,20.0
Shree Siddhivinayak Group Of Institutions,67.4924736166655,75.93878663808535,62.286277809168,81.35903152429267,20.0
Vadodara Design Academy,67.49085620030056,78.71077773187085,82.69798380152662,56.6271855169356,20.0
Ashoka Institute Of Engineering And Technology,67.47968846649232,76.28547964497069,73.13573635574774,71.98662476004426,20.0
Bharath College Of Engineering And Technology For Women,67.47331202270249,76.2301701191213,72.4712477987754,68.49714384239721,20.0
Jorhat Engineering College,67.44430572066149,74.99353550108063,83.20730460504171,64.63243309858024,20.0
Dr College Of Engineering And Technology,67.43235245315692,75.54544433934068,84.43007096963436,71.11589721201531,20.0
Miracle Educational Society Group Of Institutions,67.42959727017563,60.97883442362655,49.987742846434685,67.62837885437182,62.3463687150838
Shobhit Institute Of Engineering And Technology,67.42633797035731,65.46044698030288,84.47799959763208,78.23138954239361,20.0
Vinayaka Mission'S Kirupananda Variyar Engineering College,67.41553796634864,78.86255351352716,83.22004257810029,55.59639431642764,20.0
Guru Angad Dev Veterinary And Animal Sciences University,67.41179348284602,71.78234486366262,82.15292540397232,74.98788381739554,20.0
Central India Institute Of Technology,67.4117432227066,75.08364785365146,76.6480856610726,68.57726334969729,20.0
