College Name,DSS,High_Compliance_Risk,Missing_Docs,Placement_Rate
Satya Institute Of Technology And Management,40.25719496230364,1,1,61.52021293470008
Chalapathi Institute Of Engineering And Technology,40.25873930657689,1,1,47.954426690724304
Shri Tulja Bhavani College Of Engineering,40.26698388824531,1,0,52.24790332890882
Christian College Of Engineering And Technology,40.27646391787009,1,2,49.9742853535183
Bongaigaon Polytechnic,40.280199486189936,1,0,72.45356461875377
Nova College Of Engineering And Technology,40.28112689991745,1,0,43.56666962309967
Engineering Institute For Junior Executives,40.29034570289741,1,0,52.28932064544245
Agnos College Of Technology,40.29313944067966,1,1,75.91664764694632
Gayatri Vidya Parishad College Of Engineering,40.33907923029498,1,1,79.01167161822218
Biju Patnaik University Of Technology,40.343453721415045,1,0,71.95986670166597
Shekhawati Girls Engineering College,40.3609248034818,1,0,40.40223880352841
Modish Institute Of Polytechnic,40.36223543335904,1,1,45.99956392591326
Basantika Institute Of Engineering And Technology,40.36328359182155,1,1,48.15974473377045
Grd Institute Of Management And Technology,40.36540119295764,1,1,59.69641556255262
Kumaran Polytechnic College,40.36663080324886,1,0,64.63789446809682
Kalpi Institute Of Technology,40.369585975093706,1,0,79.52040179235287
Amrita College Of Engineering And Technology,40.37530424666953,1,1,68.83285227457024
Skr College Of Engineering And Technology,40.376395175030304,1,2,67.59024636410895
Cmr College Of Engineering And Technology,40.37722676384821,1,0,42.00267728738116
Sri Sai Ram Institute Of Technology,40.38834730830503,1,2,50.57828293118919
Institute Of Information Technology And Management,40.40024852815076,1,0,57.48647328076693
Mina Institute Of Engineering And Technology For Women,40.43187491293804,1,1,40.83746162946367
Psr Rengasamy College Of Engineering For Women,40.445293626220376,1,0,71.8216133089572
Yugantar Institute Of Technology And Management,40.45585926129256,1,0,41.79702392299935
Shivam Technical Campus,40.458330385890775,1,0,76.7812378577647
Balaji Institute Of Engineering And Sciences,40.461706550489545,1,0,42.37315643725391
Sri Taralbalu Jagadguru Institute Of Technology,40.46599425081106,1,0,75.42174906810965
Sri Sivani College Of Engineering,40.47230839736296,1,1,66.23959455496657
Shree Vidyadhiraj Polytechnic,40.480050635179786,1,0,53.31026861268733
Elite Polytechnic Institute,40.480440609452856,1,0,53.14907964320958
Government Millennium Polytechnic College,40.48444396245795,1,0,62.74525950235336
Bhabha Engineering Research Institute,40.49654230075225,1,0,74.07471785567242
Sri Chaitanya Engineering College,40.49972971571717,1,0,43.54969796118557
Guru Nanak Dev University Regional Campus,40.51122823621173,1,0,77.1529691193603
Srinivasa College Of Engineering And Technology,40.516361375835366,1,0,68.31382000667966
Muthiah Polytechnic College,40.52583591074279,1,0,66.33411353221553
Usha Mittal Institute Of Technology,40.525987186778615,1,0,71.57964467789883
Ranganathan Engineering College,40.53001844962728,1,1,71.01481705200356
Indus University,40.572236417194745,1,0,56.62848031180186
Hmfa Memorial Institute Of Engineering And Technology,40.57681639922714,1,0,77.84839343381623
Sushila Devi Bansal College Of Technology,40.57936521400926,1,0,63.69887043135566
Swasthya Kalyan Technical Campus,40.58005533509318,1,0,69.32908584954045
Md Polytechnic,40.58059317612419,1,0,46.82168594431889
Gurudeva Institute Of Science And Technology,40.58268283742064,1,1,77.76492350889347
Vallabh Budhi Polytechnic,40.58450867905574,1,0,73.75186677838647
Jhadeswar Institute Of Engineering And Technology,40.58829472296626,1,1,59.9114044844555
Jb Institute Of Engineering And Technology,40.6203905178226,1,0,60.268375646417496
Tatva Institute Of Technological Studies,40.63345784928344,1,1,51.32948026310712
Sanjay Memorial Institute Of Technology,40.64375913198244,1,0,50.70366412355242
Sushree Institute Of Technical Education,40.644957258041686,1,0,69.83579937906416
Mahatma Gandhi University,40.65168730717348,1,1,57.36828754445689
Kruttika Institute Of Technical Education,40.65960050535315,1,2,40.67068776597986
Seshachala Institute Of Technology,40.66486551994944,1,0,75.59530560548575
Brilliant Institute Of Engineering And Technology,40.683885874583495,1,0,57.56189859934477
Camellia Institute Of Technology And Management,40.69008681027896,1,1,54.98780359125012
Crk Polytechnic College,40.69207828691711,1,0,59.37163709964475
Rimt Polytechnic,40.70080289707841,1,1,56.43311559661738
Panimalar Institute Of Technology,40.7008235060926,1,0,59.02585714850848
Nagarjuna Institute Of Engineering Technology And Management,40.704540911980914,1,0,59.216940573049975
Gobindapur Sephali Memorial Polytechnic,40.705553627770406,1,1,68.24133177185738
Ujjain Engineering College,40.71394238543582,1,0,69.040136408513
Shree Ram Institute Of Technical Education,40.72095835033067,1,2,69.15030937673136
Pe Society'S Modern College Of Engineering,40.73098031610829,1,0,71.01854044082296
Srinivasa Institute Of Technology And Science,40.74456754340037,1,2,56.72940649568706
Godavari Institute Of Engineering And Technology,40.74896532075179,1,0,69.05381977045613
Accurate Institute Of Polytechnic,40.75734012209703,1,2,72.2703851098272
Deendayal Polytechnic College,40.76313150470221,1,2,76.52871196725715
Shaheed Bhagat Singh State Technical Campus,40.77106466213209,1,0,65.10956250545564
Jyothishmathi Institute Of Technology And Science,40.786029188460994,1,1,62.99620406124573
Mallabhum Institute Of Technology,40.80646541147724,1,0,78.29195345438647
Priyadarshini Institute Of Technology,40.81766904391784,1,1,77.17689808972298
Tippu Shaheed Institute Of Technology,40.83211233499724,1,0,66.14406004961782
Kshatriya College Of Engineering,40.85884808939184,1,1,74.01241301132856
Damsetty Srinivasa Naidu'S Dbs Institute Of Technology,40.867316252740274,1,0,62.60225728696149
Hemnalini Memorial College Of Engineering,40.87729180125872,1,1,75.40657062408735
Millia Polytechnic,40.890189634065806,1,1,78.54681972050204
Vedavyasa Institute Of Technology,40.90841179930688,1,2,71.44811849643736
Oxford Engineering College,40.92430397579786,1,0,52.64233094249613
Government Polytechnic Garhi Shyampur,40.92885823736685,1,0,58.029879220758176
Bharat Institute Of Technology And Management,40.92979510304604,1,0,58.713978900754256
Jj College Of Engineering And Technology,40.93911224018671,1,0,63.10018536566532
Sri Ramana Polytechnic College,40.94186692565344,1,1,48.88773119501939
Radharaman Institute Of Research And Technology,40.94374722894428,1,0,76.22464692385007
Iamr College Of Engineering,40.95868508200336,1,0,40.908131637222894
Jogaiah Institute Of Technology And Sciences,40.96549518958143,1,1,44.541747970508986
Blde Association'S Shri Sanganabasav Mahaswamiji Polytechnic,40.98963128712443,1,2,67.1730493045788
Pa Polytechnic,41.00016262072141,1,0,63.473167524568495
K Ramakrishnan College Of Engineering,41.01720674198074,1,0,72.93946744795608
The Techno School,41.0269242370882,1,1,49.53176723838037
Shahul Hameed Memorial Engineering College,41.04463390222517,1,0,48.21240008428949
Mh Saboo Siddik College Of Engineering,41.05308167789918,1,0,59.560209509028574
Vidya Vikas Pratishthan Institute Of Engineering And Technology,41.08309017283712,1,1,43.700461521512686
Mother India Polytechnic College,41.09298773021186,1,0,73.90206719327651
Walchand Institute Of Technology,41.09703181978877,1,2,65.70157144652416
Bharathidasan Engineering College,41.10246183296636,1,0,72.23696257864249
Devineni Venkata Ramana And Dr Hima Sekhar Mic College Of Technology,41.10675437366518,1,0,62.6654553289346
Sri Balaji College Of Engineering And Technology,41.11022549585552,1,2,76.82478158456192
S S Agrawal Institute Of Engineering And Technology,41.11861400746598,1,0,52.9572660948818
Anantha Lakshmi Institute Of Technology And Sciences,41.12105642842141,1,0,79.03400466409542
Amara Institute Of Engineering And Technology,41.12419977542344,1,0,69.50138936190004
Kj College Of Engineering And Management Research,41.12682754496955,1,0,44.87269476489382
Marri Laxman Reddy Institute Of Technology And Management,41.16145737263909,1,2,54.322038291464935
Miet Engineering College,41.16791547023034,1,1,59.29307070237328
Tagore Institute Of Research And Technology,41.17390377858776,1,2,43.96010513529613
Srm Institute Of Science And Technology,41.18603044413863,1,1,52.89034955327016
Institute Of Technology And Sciences,41.19418343989794,1,1,64.21631826247008
Guru Nanak Polytechnic,41.21525811577169,1,0,61.94657505080376
Sandip Polytechnic,41.2342288964855,1,0,74.6766295779837
Malla Reddy Institute Of Technology,41.24496257620283,1,0,57.87598178253077
The Kavery Institute Of Technology,41.26222545019022,1,0,62.54698944861932
Mittal Institute Of Technology,41.27056474011064,1,0,43.79463005158812
Sri Sairam Polytechnic College,41.27540714920774,1,0,43.531869535623706
Aurora'S Research And Technological Institute,41.28557939889776,1,1,46.343588726938265
Indus School Of Engineering,41.31529136606056,1,1,79.50660289760145
Shri Shivajirao Deshmukh Institute Of Technology,41.31943620914607,1,0,45.1872507130569
Sri Krishnadevaraya University College Of Engineering And Technology,41.32302133907118,1,0,79.41142284721697
Shantiniketan Polytechnic,41.32489955804228,1,0,61.33626793307144
Sarvottam Institute Of Technology And Management,41.32803646229079,1,0,44.02847701023244
Omm Muruga Polytechnic College,41.32807344613166,1,0,77.1130131111556
Grow More School Of Architecture,41.34612131140543,1,0,70.08837045436204
Hr Institute Of Technology,41.34620659421506,1,0,50.457322021112354
Vivekananda Global University,41.35270412910024,1,0,43.96028773696718
Government College Of Engineering And Research,41.354223210842655,1,0,40.71658685360926
Jaipur National University,41.357234083344224,1,1,48.60031249476912
Sir Visvesvaraya Institute Of Technology,41.36288672796091,1,0,69.21711312578275
Sanjivani Kbp Polytechnic,41.38981751437355,1,1,62.1726551294655
College Of Agricultural Engineering And Technology,41.39820202074733,1,0,68.93144354863307
Marwadi Education Foundation Group Of Institutions,41.41096441995718,1,2,56.95101937900256
Tripura Institute Of Technology,41.41557571805844,1,0,58.98202423339374
Sivakasi Institute Of Printing Technology,41.43320145849268,1,0,44.87961587119052
Sri Sai Institute Of Technology,41.43734174733674,1,0,44.08197855591156
Sir Issac Newton College Of Engineering And Technology,41.438540427789775,1,1,67.97019557082548
E-Max School Of Engineering And Applied Research,41.462172999940826,1,0,72.6608671920234
Srg Engineering College,41.46538582385843,1,0,47.82163947495924
Image Engineering And Technical Institute,41.46990302559723,1,0,75.42102299048163
Vignan'S Nirula Institute Of Technology And Science For Women,41.47205090995552,1,0,61.28524659030317
Nb Navale Sinhgad College Of Engineering,41.49911249038269,1,0,57.03189176952114
Vishwatmak Om Gurudev College Of Engineering,41.50274264493956,1,0,62.52998346610304
Assam Engineering Institute,41.50755396028696,1,0,47.56990580746028
Sri Sahadev Paudhriya Polytechnic College,41.50918682979908,1,0,40.19091081892971
Mk School Of Engineering And Technology,41.51478231506383,1,2,70.4377484677918
Sardar Patel Institute Of Technology,41.5226685621035,1,0,40.83919925604269
Datta Meghe College Of Engineering,41.52278019538476,1,0,60.23603112800029
Merchant Institute Of Technology,41.54862474742063,1,0,75.03218973405998
Vimal Jyothi Engineering College,41.56423162450922,1,1,44.24859341198652
Aklia College Of Engineering And Management Technology,41.57434084688144,1,0,66.52121304292028
Subhash Kool College Of Engineering,41.576030975694685,1,1,43.1107988074542
Poornima University,41.61129316611374,1,0,69.45043796445918
Modern Education Society'S College Of Engineering,41.6119822440593,1,0,75.24077828346674
Sardar Patel College Of Engineering,41.61382456126228,1,0,54.3605965148027
Avantika University,41.61806596487698,1,2,79.18295295996738
Tontadarya College Of Engineering,41.62017395340644,1,2,60.157669068379406
Dr Ad Shinde College Of Engineering,41.62041633883985,1,0,53.87296383209977
Priyadarshini Bhagwati College Of Engineering,41.62469058220484,1,0,61.04739121624689
Praveenya Institute Of Marine Engineering And Maritime Studies,41.63018243446995,1,1,48.55860670431655
Forte Institute Of Technology,41.63560170831162,1,0,60.59466148216953
Gojan School Of Business And Technology,41.63668860948045,1,1,55.35064960406413
Krishna Chaitanya Institute Of Technology And Sciences,41.64463151364687,1,0,61.132981090055445
Translam Institute Of Technology And Management,41.66563440647651,1,0,61.31898626744032
Karnataka Government Polytechnic,41.67978076946989,1,0,71.23750157994132
College Of Agricultural Engineering,41.68610618460554,1,0,48.53802646468191
Klm College Of Engineering For Women,41.7025189387774,1,0,66.738106712078
Mahendra Institute Of Engineering And Technology,41.705826893829496,1,0,67.37731559205602
Sjc Institute Of Technology,41.72306873876851,1,0,52.06960678761699
Raghu Engineering College,41.73189679061783,1,0,75.16541194629997
Graphic Era Hill University,41.73511804020634,1,0,59.6786336029554
Yalamarty College Of Polytechnic,41.74031301093374,1,0,46.64458131784791
Agm Rural College Of Engineering And Technology,41.77023434229155,1,0,50.635768530351726
Arunai College Of Engineering,41.78372227886506,1,2,47.137343246589566
Shree Santkrupa Institute Of Engineering And Technology,41.78677880116106,1,0,65.99035738916463
Maharaj Vijayaram Gajapathi Raj College Of Engineering,41.79140855618474,1,0,65.70167800646786
Holy Mary Institute Of Technology And Science Mca And Mba,41.7998129428936,1,0,71.29546222749775
Sri Sivasubramaniya Nadar College Of Engineering,41.80791308940671,1,0,75.20060928941506
Singareni Collieries Polytechnic,41.81517513574521,1,0,75.80126717002275
Tkr College Of Engineering And Technology,41.82064904343677,1,0,48.32222365940886
University College Of Engineering And Technology,41.829091663220325,1,2,47.73535614789008
Psn Institute Of Technology And Science,41.84317005997028,1,0,60.63712801730597
Iimt College Of Polytechnic,41.843584267121535,1,0,44.97299494757438
Ck Pithawala College Of Engineering And Technology,41.866967678976266,1,2,49.83919156042523
Don Bosco College Of Engineering,41.875383914174726,1,0,76.25555096487196
Sinhgad Institute Of Technology And Science,41.877952089824085,1,0,62.14623026751276
Maharaja Sayajirao University Of Baroda,41.89946195083326,1,0,79.87941915979543
Holy Mary Institute Of Technology,41.90139016477412,1,2,69.05844744264881
Baselios Thomas I Catholicose College Of Engineering And Technology,41.904416530271824,1,0,63.3335733662879
Thirumathi Elizabeth Polytechnic College,41.9058127128596,1,0,67.38502073472326
Purandar College Of Engineering And Management Research,41.91635708473549,1,1,57.73664541241277
Jt Mahajan College Of Engineering,41.95979073348087,1,1,65.07011564675118
Nagasiva Polytechnic College,41.974121633355786,1,0,78.51505063350056
Lyallpur Khalsa College Of Engineering,41.99869993213128,1,0,58.55779470836354
Sarvoday Polytechnic Institute,42.0052401772492,1,2,72.51012126077526
Cu Shah College Of Engineering And Technology,42.011445719805856,1,0,79.95877446266331
Sarojini Institute Of Technology,42.0247009077348,1,0,42.26278115050284
Unnati Management College,42.03676100165,1,0,50.58118303407579
Jntuh College Of Engineering,42.0511124415358,1,0,40.28841698421475
Rrase College Of Engineering,42.05943794099375,1,1,57.39315026620248
Al Ameen Polytechnic College,42.07167127839456,1,2,78.8419624275439
Haryana College Of Technology And Management,42.07178826572861,1,0,50.78751283666319
Department Of Jute And Fibre Technology Institute Of Jute Technology University Of Calcutta,42.08675646044851,1,0,46.82957346634764
Grow More Foundations Group Of Institutions Faculty Of Engineering,42.094513601947455,1,0,50.02530215532527
Ms Polytechnic,42.11709169553559,1,0,46.4052756702954
Vasireddy Venkatadri Institute Of Technology,42.12991751260989,1,1,74.2245858671669
Lokmanya Tilak College Of Engineering,42.13332024868777,1,0,60.7401544399658
Technique Polytechnic Institute,42.13348064448553,1,0,49.20049027970881
Institute Of Engineering And Industrial Technology,42.1343456381847,1,1,61.49127860473962
Bharati Vidyapeeth'S College Of Engineering For Women,42.13686755752797,1,0,62.38880137592984
Paavai College Of Engineering,42.14980392005701,1,0,40.20687251872726
Sri Dharmasthala Manjunatheshwara Institute Of Technology,42.15157954765873,1,1,62.45283818777777
Global Institute Of Engineering And Science,42.15683202333276,1,0,56.48197216816995
Genba Sopanroa Moze Trust'S Parvatibai Genba Moze College Of Engineering,42.19486215875356,1,0,69.8060104751967
Kk Wagh Institute Of Engineering Education And Research,42.198438173933646,1,0,50.10029088425589
Set Polytechnic,42.201288604483445,1,0,67.89957358471463
Balaji Institute Of Engineering And Management Studies,42.20954655081653,1,0,69.93615149596516
Yogananda College Of Engineering And Technology,42.212134739710535,1,0,66.28471879852563
Dr Rajesh Ramdasji Kambe Polytechnic,42.21215686826599,1,0,69.80475113180802
Krishna Institute Of Technology,42.21755997858608,1,0,65.71321828979885
Babasaheb Naik College Of Engineering,42.21930512527145,1,1,77.71393941479792
Srinivasa Ramanujan Institute Of Technology,42.25438249572152,1,0,50.277305300376334
Arrdekta Institute Of Technology,42.25540356632891,1,2,52.23198211790756
Irt Polytechnic College,42.27362023163838,1,0,43.18221090670199
Dhruva Institute Of Engineering And Technology,42.285160663494814,1,1,66.6729552267008
Dn Patel College Of Engineering,42.29254513051812,1,0,56.67679086919566
Someshwar Polytechnic College,42.31591460214082,1,0,62.04801575051262
Cape Institute Of Technology,42.32761532357399,1,0,70.72554417355953
Shekhawati Institute Of Engineering And Technology,42.33020049219849,1,0,63.88392182265756
Chirala Engineering College,42.338708897515936,1,0,56.13833602169476
Bapatla Women'S Engineering College,42.341043701531405,1,0,56.29289937920987
Gm Institute Of Technology,42.34156413702453,1,2,70.9606120379014
Abes Institute Of Technology,42.35842845229664,1,0,66.04770453947322
College Of Basic Sciences And Humanities,42.36170251860891,1,0,78.12108224777764
Nova Institute Of Technology,42.36568724186544,1,2,47.52439347877499
Rural Polytechnic,42.37714357134115,1,0,74.72878875834556
Amal Jyothi College Of Engineering,42.40432960386365,1,0,54.91991664339432
Government Cpc Polytechnic,42.420579981010974,1,1,49.508235641613446
Delhi Global Institute Of Technology,42.42472304065307,1,2,55.71347821279599
Sarvajanik College Of Engineering And Technology,42.42864292972197,1,0,51.492978893601205
Cheran College Of Engineering,42.435862248239744,1,0,66.9630644273391
Ellenki College Of Engineering And Technology,42.43903284578242,1,0,52.16989337323293
Sri Nallalaghu Nadar Polytechnic College,42.449272626204696,1,2,50.65832927692855
Jeppiaar Engineering College,42.45178513968612,1,0,74.8091074032456
Shri Krishan Polytechnic,42.4583377637931,1,0,57.99840654518952
Karaikal Polytechnic College,42.47909918811794,1,2,69.10591570290055
Chhattisgarh Engineering College,42.48101414241453,1,0,72.14393382162713
Kamath Institute Of Technology,42.486838431985966,1,1,50.45299812004042
Cusrow Wadia Institute Of Technology,42.50061899430611,1,2,70.254346184025
Great Lakes International University,42.51198036656899,1,0,66.48722663478439
Jaipur Institute Of Technology- Group Of Institutions,42.51618204836389,1,1,69.06402323674602
Gurukul Institute Of Engineering And Technology,42.52195129047942,1,0,59.14768861792962
Avs Engineering College,42.55119798425184,1,0,74.89012625098681
Rn Shetty Rural Polytechnic,42.56487093606789,1,1,64.4745508235531
Meenakshi Krishnan Polytechnic College,42.57417537673381,1,0,69.24549553569325
Guru Jambheshwar University Of Science And Technology,42.58073096785884,1,0,66.41575055956427
Green Hills Engineering College,42.59536017955225,1,0,55.14986595578294
Central Tool Room And Training Centre,42.59570493514731,1,0,49.16933102190646
Kingston Polytechnic College,42.61648625718115,1,1,63.68196422710296
Samskruti College Of Engineering And Technology,42.64241052639824,1,0,78.71744285227348
D Banumaiahs Polytechnic,42.69442839702626,1,0,44.09259791161298
Babu Mohan Lal Arya Smarak Engineering College,42.72047541464924,1,0,57.62265863385885
Rajarajeswari College Of Engineering,42.728623092315104,1,0,65.37019010450967
Amalapuram Institute Of Management Sciences And College Of Engineering,42.745862172858,1,0,77.73929561707484
Sal School Of Architecture,42.76889921878696,1,0,75.12902024222149
Bhartiya Institute Of Engineering And Technology,42.7769633961325,1,0,75.61108052499736
Park College Of Technology,42.81246827648773,1,0,72.0737338049212
Sri Siddhartha Institute Of Technology,42.82543031640417,1,0,69.90398740927475
Kamla Raheja Vidhyandhi Institute For Architecture,42.83614470598903,1,0,56.03641939456935
Jaywant College Of Engineering And Management,42.84058332648471,1,0,47.93813921172663
Srinivasan Engineering College,42.84254132309719,1,1,46.63634480262328
Vivekananda College Of Engineering And Technology,42.84954254282668,1,0,54.19490225786714
Swami Vivekanand Institute Of Polytechnic,42.853595361040526,1,0,52.77280436367042
Jawahar Education Society'S Institute Of Technology,42.85774221193981,1,1,61.85620701656536
Dayananda Sagar University,42.885188260636816,1,0,49.42739685672431
Abasaheb Shivajirao Sitaram Patil Institute Of Polytechnic,42.90018473242685,1,0,53.16530338667498
Shiv Kumar Singh Institute Of Technology And Science,42.915650524566686,1,0,77.96416659431151
Dr Mc Saxena College Of Engineering And Technology,42.91786947768536,1,2,72.4115989038856
Aurora'S Technical And Management Campus,42.92223532840586,1,0,71.55856430008254
Ks Institute Of Technology,42.9225429357142,1,0,41.17399179966281
Seth Jai Parkash Polytechnic,42.96517704329945,1,0,53.87479807118639
Radha Govind Polytechnic College,42.97990977083844,1,0,56.22648928899645
Guru Tegh Bahadur Polytechnic Institute,43.003310986620185,1,2,57.82985237662858
Aringer Anna College Of Engineering And Technology,43.018460166470405,1,0,59.48268113040984
Noorul Islam Polytechnic College,43.025609889897424,1,0,74.42082965612568
Gujarat Power Engineering And Research Institute,43.027335951439404,1,2,45.79222859921544
Shree Institute Of Science And Technology,43.03425457169477,1,2,72.04600658323233
Shree Rama Educational Society Group Of Institutions,43.04048027408144,1,0,62.29599806698821
Veerammal College Of Engineering,43.04368748541679,1,1,49.50633541656055
Nagaji Institute Of Technology And Management,43.047076570054,1,1,52.0815755774687
Psv College Of Engineering And Technology,43.04834989202554,1,0,65.2210429213219
Shri Baba Mast Nath Engineering College,43.07243615209915,1,0,76.35692355920447
Swami Nithyananda Polytechnic College,43.08103136622171,1,0,58.35680502115827
Maharaja Agrasen Polytechnic College,43.09056347107396,1,1,59.52039902628988
Shrinathji Institute For Technical Education,43.11373263448287,1,1,70.80020516133894
Malineni Lakshmaiah Engineering College,43.117654118918175,1,0,67.51430795674764
Chitkara University,43.12938902983138,1,0,62.186110105844136
Azmet Institute Of Technology,43.13594037450782,1,0,77.61491134250926
Spb Patel Engineering College,43.13873194617618,1,0,63.29528095919317
Tit College,43.14804677631332,1,1,78.01619217435808
Nalla Malla Reddy Engineering College,43.14886623693801,1,0,53.73875052676369
Al-Khateeb Government Aided Polytechnic,43.16170034597266,1,0,75.45050853676526
Nanhi Pari Seemant Engineering Institute,43.17249739512605,1,1,63.86155769429713
Dhanekula Institute Of Engineering And Technology,43.17724583151437,1,0,66.50383041546026
Vidya Academy Of Science And Technology,43.18604576314516,1,0,43.082185795485614
Ncr Polytechnic,43.19153208515154,1,1,42.57745825223893
Ba Ramaiah Polytechnic,43.19160544889342,1,0,66.77632429624799
Sanskrithi School Of Engineering,43.23680928150796,1,0,61.97448839880437
Pillai Polytechnic,43.24812092257194,1,0,41.166497546769335
Angel College Of Engineering And Technology,43.26923896174258,1,1,54.9435601798531
Mahindra Ecole Centrale,43.30501690732976,1,0,51.66086305063953
Sal Engineering And Technical Institute,43.307514800052346,1,1,77.49718347324898
Adhunik College Of Engineering,43.3204626062894,1,2,75.51645680406446
Bhubaneshwar Institute Of Industrial Technology,43.32395302435325,1,1,57.35310929362838
Government Ramchandra Khaitan Polytechnic College,43.32921863260532,1,0,46.03305280158398
Paladugu Nagaiah Chowdary And Vijai Institute Of Engineering And Technology,43.33040973364274,1,0,74.41962402768567
Shree Niranjana Swamy Polytechnic,43.33245034276772,1,0,70.00273172622646
Sant Baba Bhag Singh University,43.33890524195149,1,0,40.178871354002126
Ssms College Of Architecture,43.35762152948635,1,0,40.743271447803
Smt Bhagwati Chaturvedi College Of Engineering,43.3676277881096,1,1,40.66924989685974
Pes College Of Engineering,43.3687860362667,1,0,75.8521375837172
Centre For Computers And Communication Technology,43.374723350357385,1,0,61.10309890023901
Dr Bhimrao Ambedkar Engineering College Of Information Technology,43.38479976050922,1,0,79.94667174093533
Vijaya Krishna Institute Of Technology And Sciences,43.39739491335433,1,0,64.76056665775982
Bansal Institute Of Science And Technology,43.39887343312499,1,0,57.24403851282939
Nanjappa Polytechnic College,43.42347748319476,1,2,53.74974860039167
Einstein Academy Of Technology And Management,43.42538421775812,1,0,58.31687191448941
Simhadhri Educational Society Group Of Institutions,43.43250277601887,1,1,78.02535533123577
Jims Engineering Management Technical Campus,43.44685830703128,1,0,56.10615993779477
Ludhiana Group Of Colleges,43.45104057852309,1,0,57.17617246366022
Vinuthna Institute Of Technology And Science,43.45123432239434,1,1,49.56961523253506
Akt Memorial Polytechnic College,43.46561504256808,1,1,51.69797279854957
Swami Devi Dyal Institute Of Engineering,43.49893258055271,1,0,52.3228881317001
Nri Institute Of Research And Technology,43.501693510196816,1,0,49.354755782870896
Gangadhar Polytechnic,43.51033366157497,1,1,46.564238652100215
Thejus Engineering College,43.51451683898802,1,0,53.61437310327398
Ltr Institute Of Technology,43.514895873391154,1,0,57.10858270195216
Smt B Seetha Polytechnic,43.52362269759447,1,0,41.49834292966096
Babu Banarasi Das Northern India Institute Of Technology,43.53586271532627,1,0,65.96900868150651
Institute Of Engineering And Emerging Technology,43.54178080298704,1,0,59.39941300566502
Bishop Jerome School Of Architecture And Design,43.55540670153471,1,0,74.19215701444733
Ks Rangasamy College Of Technology,43.56394299299489,1,0,50.799943331330944
Sri Venkateswara Institute Of Technology,43.56627038802643,1,0,76.30530202063855
Siddhivinayak Technical Campus,43.56763127348592,1,2,71.56716388359567
Baba Banda Singh Bahadur Global Polytechnic College,43.575612693758615,1,0,77.34995946774933
Kpr Institute Of Engineering And Technology,43.59759584205471,1,0,45.61463764140146
Dr Dy Patil Vidyapeeth,43.60667850258711,1,0,59.65750157147518
Motichand Lengade Bharatesh Polytechnic,43.62012692843367,1,2,62.31237209442175
Pillais Hoc College Of Engineering And Technology,43.63692879438756,1,0,70.92788522373017
Aurora'S Seethaiah Engineering College,43.636936036882325,1,0,76.93865292639182
Sri Vidya Vinayaka Institute Of Technology,43.64527121516229,1,0,69.2144580040194
Rama University,43.68933499153181,1,0,44.76463445164997
Sanjay Bhokare Group Of Institutes,43.69055159068327,1,0,74.43581565150683
Akido College Of Engineering,43.70599485837054,1,0,73.11255909360759
Vemana Institute Of Technology,43.71279557192104,1,1,40.931497866263584
