Rank,College Name,Avg_Doc_DSS,Risk_Score,Rank_Score
54,National Institute of Electronics and Information Technology,90.8,69.84,80.32
55,National Institute of Technology Hamirpur,90.5,70.04,80.27
56,Dr B R Ambedkar National Institute of Technology Jalandhar,94.27,66.23,80.25
57,Babu Banarasi Das National Institute of Technology and Management,93.55,66.42,79.98
58,National Institute of Technical Teachers Training and Research,94.99,64.96,79.97
59,International Institute of Engineering and Technology,90.88,68.97,79.93
60,Indian Institute of Technology Banaras Hindu University Varanasi,92.37,67.46,79.91
61,National Institute of Electronics and Information Technology,93.93,65.66,79.79
62,National Institute of Electronics and Information Technology,96.37,63.08,79.73
63,International Institute of Information Technology,94.3,65.01,79.65
64,National Institute of Technology Meghalaya,90.37,68.91,79.64
65,National Institute of Technology Kurukshetra,91.92,67.28,79.6
66,Meerut International Institute of Technology,94.88,64.09,79.49
67,National Institute of Technology Patna,90.79,67.78,79.28
68,National Institute of Electronics and Information Technology,93.34,65.0,79.17
69,National Institute of Industrial Engineering,91.23,65.1,78.17
70,International Institute of Information Technology,93.85,61.05,77.45
71,Sine International Institute of Technology,92.83,61.96,77.39
72,National Institute of Aeronautical Engineering Research and Management,90.42,64.22,77.32
73,National Institute of Foundry and Forge Technology,90.89,63.47,77.18
74,Minerva Polytechnic College,77.34,77.01,77.17
75,International Institute of Information Technology,90.69,63.15,76.92
76,The National Institute of Engineering,91.86,61.98,76.92
77,National Institute of Science and Technology,92.8,60.6,76.7
78,National Institute of Technology Delhi,91.31,61.28,76.3
79,National Dairy Research Institute,82.05,68.55,75.3
80,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,79.68,69.99,74.83
81,Remote Sensing Applications Centre,79.48,69.97,74.72
82,Dr Babasaheb Ambedkar Technological University,83.33,65.88,74.61
83,National Sugar Institute,84.23,64.87,74.55
84,Kalinga University,84.91,63.76,74.33
85,Seth Haribaksh Lohia Jairam Mahila Polytechnic,82.86,63.72,73.29
86,Yashwantrao Chavan Maharashtra Open University,78.13,67.84,72.98
87,Arham Veerayatan Polytechnic Institute,84.39,60.97,72.68
88,Bineswar Brahma Engineering College,83.62,60.99,72.31
89,Amity School of Engineering,84.06,60.24,72.15
90,Birla Institute of Technology,83.75,60.39,72.07
91,Karnataka Institute of Leather Technology,79.87,63.81,71.84
92,Dibrugarh University,84.36,59.07,71.72
93,Malabar Institute of Technology,84.55,58.6,71.58
94,Vasant Polytechnic College,84.96,58.19,71.57
95,Jharkhand Government Mini Tool Room and Training Centre,79.32,63.65,71.48
96,Punjab Institute of Technology,76.52,66.23,71.38
97,Little Flower Polytechnic,81.09,61.33,71.21
98,Department of Computer Science,83.02,59.2,71.11
99,Seth Jaiprakash Mukandlal Polytechnic for Women,84.26,57.86,71.06
100,Shiridi Sai Diploma in Engineering and Technology,77.46,64.58,71.02
101,Maharshi Dayanand Saraswati University,79.97,61.96,70.96
102,Indian Institute of Information Technology Dharwad,84.54,57.08,70.81
103,Neelkanth Institute of Engineering and Technology,83.7,57.68,70.69
104,Vindhya Institute of Technology and Science,74.67,66.72,70.69
105,Don Bosco Polytechnic College,78.38,62.81,70.6
106,Government Polytechnic College,82.83,58.08,70.45
107,Regional Institute of Science and Technology,84.89,55.96,70.42
108,Institute of Technology,72.41,68.36,70.38
109,MNSK College of Engineering,84.55,55.81,70.18
110,PGP Polytechnic College,82.06,58.31,70.18
111,Indian Institute of Information Technology Kalyani,77.04,63.21,70.13
112,Indian Institute of Information Technology Tiruchirappalli,81.6,58.37,69.99
113,Sai Meer College of Polytechnic,83.78,56.06,69.92
114,Mahamaya Institute of Medical and Technical Science,80.29,58.86,69.57
115,IVS Polytechnic,82.23,56.59,69.41
116,Rajaram Shinde Degree College of Architecture,72.56,66.14,69.35
117,Thapar Polytechnic College,75.92,62.73,69.33
118,Latha Mathavan Engineering College,83.39,55.06,69.23
119,Glocal University,82.08,56.17,69.12
120,Dr Dashrath Chaudhary National Polytechnic,74.11,64.09,69.1
121,Amrutvahini College of Engineering,84.01,54.0,69.01
122,Yogi Vemana University,80.02,57.97,69.0
123,Navsari Agricultural University,73.6,64.07,68.84
124,Rishi Chadha Vishvas Girls Institute of Technology,83.52,54.06,68.79
125,Punjabi University Regional Centre for Information Technology and Management,75.64,61.87,68.76
126,SVA College of Polytechnic,77.2,60.23,68.71
127,Institute of Engineering and Technology,76.75,60.32,68.54
128,Nanasaheb Mahadik College of Engineering,80.21,56.79,68.5
129,Agnel Institute of Technology and Design,84.35,52.56,68.46
130,T John Institute of Technology,84.37,52.46,68.41
131,Anwarul-Uloom College of Engineering and Technology,84.92,51.79,68.36
132,College of Architecture,77.84,58.82,68.33
133,Forth Dimension College of Architecture,81.36,55.26,68.31
134,Rustamji Institute of Technology,83.62,52.97,68.29
135,Marine Engineering and Research Institute,76.38,60.06,68.22
136,Centre for Development of Advanced Computing,81.54,54.87,68.21
137,Saraswathy College of Engineering and Technology,78.23,58.1,68.16
138,Swami Vivekanand Subharti University,84.68,51.63,68.15
139,Swamy Vivekananda Polytechnic,80.31,55.85,68.08
140,Shree Hari Polytechnic Institute,83.18,52.88,68.03
141,Christ Institute of Technology,81.83,53.93,67.88
142,Shri Guru Gobind Singhji Institute of Engineering and Technology,84.01,51.75,67.88
143,Sri Polytechnic,79.37,56.35,67.86
144,Janta Polytechnic,84.16,51.55,67.85
145,Dayalbagh Educational Institute,84.27,51.31,67.79
146,TRR Engineering College,80.7,54.8,67.75
147,Modern Engineering and Management Studies,81.13,54.35,67.74
148,VPMs Maharshi Parshuram College of Engineering,79.39,55.83,67.61
149,Balaghat Polytechnic,72.97,62.21,67.59
150,Government Polytechnic,83.28,51.9,67.59
151,Vasantrao More Polytechnic,78.61,56.55,67.58
152,ICL Institute of Architecture and Town Planning,77.91,57.1,67.51
153,Jagannath University,83.82,51.0,67.41
154,Sir M Visvesvaraya Polytechnic,84.78,49.98,67.38
155,Shoolini University of Biotechnology and Management Sciences,82.57,51.92,67.24
156,Karmayogi Engineering College,80.99,53.48,67.23
157,Ram-Eesh Institute of Engineering and Technology,84.22,50.14,67.18
158,Dr Bhupen Hazarika Regional Government Film and Television Institute,80.44,53.86,67.15
159,Rayagada Institute of Technology and Management,84.74,49.45,67.1
160,Anant National University,79.41,54.73,67.07
161,Bhajarang Engineering College,82.46,51.55,67.0
162,Ideal School of Engineering,80.55,53.42,66.98
163,National Power Training Institute,80.52,53.43,66.97
164,Imayam College of Engineering,83.65,50.27,66.96
165,JV Mandals Polytechnic College,83.23,50.67,66.95
166,Sri Chaitanya Technical Campus,82.87,50.88,66.88
167,Sri Shanmugha College of Engineering and Technology,81.21,52.36,66.79
168,Bhabha Institute of Technology,81.25,52.29,66.77
169,Institute of Road Transport Polytechnic College,80.95,52.41,66.68
170,Ambition Institute of Technology,84.3,48.98,66.64
171,Thanthai Periyar Government Institute of Technology,82.23,51.02,66.62
172,LJ School of Architecture,84.04,49.19,66.62
173,Eranad Knowledge City Technical Campus,81.06,52.15,66.6
174,JLU School of Engineering and Technology,70.61,62.55,66.58
175,Central University of Rajasthan,81.99,51.09,66.54
176,Residential Girls' Polytechnic,83.16,49.85,66.51
177,Guru Hargobind Polytechnic College,70.59,62.32,66.45
178,JNTUH College of Engineering,81.89,51.02,66.45
179,Satyam Polytechnic and Pharmacy College,83.75,49.07,66.41
180,SCAD Institute of Technology,65.53,67.27,66.4
181,Doaba Polytechnic College,76.91,55.87,66.39
182,University College of Engineering and Technology,68.51,64.19,66.35
183,University College of Engineering,84.71,47.95,66.33
184,Government College of Engineering,84.02,48.43,66.22
185,Indian Institute of Information Technology,83.16,49.25,66.21
186,Sant Gajanan Maharaj Rural Polytechnic,84.42,47.98,66.2
187,Guru Nanak Dev Engineering College,81.15,51.21,66.18
188,Rayat Polytechnic College,84.67,47.52,66.1
189,Suraj College of Engineering and Technology,76.08,56.02,66.05
190,Deen Bandhu Sir Chhotu Ram Government Polytechnic,79.48,52.61,66.05
191,Model Polytechnic College,80.65,51.44,66.05
192,Sri Ramakrishna Institute of Technology,84.17,47.87,66.02
193,Trimurti Institute of Technology Polytechnic,72.96,59.03,66.0
194,Ghani Khan Choudhury Institute of Engineering And Technology,81.73,50.18,65.96
195,Gopalan College of Engineering and Management,83.29,48.54,65.91
196,KKC Institute of Technology and Engineering for Women,84.33,47.45,65.89
197,BITS Pilani- Hyderabad Campus,82.52,49.18,65.85
198,MSPVL Polytechnic College,82.99,48.62,65.81
199,Agnel Technical College,84.06,47.5,65.78
200,Terna Public Charitable Trust's Terna Engineering College,79.91,51.62,65.77
201,Institute of Knowledge College of Engineering,80.5,50.97,65.74
202,Shri Krishnaa College of Engineering and Technology,82.89,48.46,65.67
203,Dev Bhoomi Group of Institutions,83.9,47.39,65.64
204,Guru Gobind Singh Polytechnic College,73.32,57.94,65.63
205,Vyas Institute of Engineering and Technology,75.64,55.52,65.58
206,Ganpati Polytechnic for Engineering,83.95,47.11,65.53
207,SNDT Womens University,79.22,51.81,65.51
208,Prabhakar Patil Education Society's Polytechnic,70.23,60.75,65.49
209,Kings College of Engineering,83.75,47.2,65.48
210,Biff and Bright College of Engineering and Technology,84.6,46.36,65.48
211,Vivekanand Institute of Polytechnic,82.45,48.49,65.47
212,Shri Shankaracharya Group of Institutions,83.55,47.38,65.46
213,Madhu Vachaspati Institute of Engineering and Technology,82.74,47.9,65.32
214,Marine Engineering and Research Institute,81.95,48.69,65.32
215,YSPS Polytechnic,76.95,53.6,65.28
216,Ranganathan Polytechnic College,79.41,51.14,65.28
217,Government Polytechnic College,72.46,58.08,65.27
218,Thanapandiyan Polytechnic College,71.76,58.76,65.26
219,Rajarshi Rananjay Singh Institute of Management and Technology,79.27,51.14,65.21
220,Indian Institute of Information Technology,82.82,47.6,65.21
221,Shri Sai Institute of Technology Polytechnic,84.4,46.01,65.2
222,Vadodara Institute of Engineering,84.22,46.14,65.18
223,SCMS School of Architecture,81.24,49.03,65.14
224,Sahakar Maharshi Shankarrao Mohite-Patil Institute of Technology and Research,78.65,51.44,65.04
225,Rao Birender Singh State Institute of Engineering and Technology,77.55,52.52,65.03
226,ER and DCI Institute of Technology,78.83,51.23,65.03
227,Khammam Institute of Technology and Sciences,78.86,51.12,64.99
228,TJ Institute of Technology,84.66,45.32,64.99
229,Regional College for Education Research and Technology,79.03,50.96,64.99
230,Wainganga Polytechnic,78.31,51.62,64.97
231,Vijay Pratap Institute of Technology,84.37,45.41,64.89
232,Kalasalingam Institute of Technology,83.64,46.08,64.86
233,VRS and YRN College of Engineering and Technology,82.23,47.37,64.8
234,Government Polytechnic College,76.06,53.53,64.79
235,MVJ College of Engineering,83.07,46.51,64.79
236,Aditya Polytechnic College,80.39,49.12,64.75
237,AVN Institute of Engineering and Technology,84.99,44.28,64.63
238,University of Calicut,53.97,75.23,64.6
239,Manonmaniam Sundaranar University,79.12,50.07,64.59
240,Grandhi Varalakshmi Venkata Rao Institute of Technology,83.55,45.58,64.57
241,Government Polytechnic,71.85,57.25,64.55
242,Swami Divyanand Polytechnic of Engineering,75.47,53.64,64.55
243,Kalyani Government Engineering College,83.19,45.73,64.46
244,MS Bidve Engineering College,79.45,49.45,64.45
245,Geethanjali College of Engineering and Technology,78.93,49.95,64.44
246,SAMS College of Engineering and Technology,76.63,52.02,64.32
247,Indira Gandhi National Open University,65.26,63.3,64.28
248,Viva School of Architecture,84.38,44.14,64.26
249,CSIR-Central ElectroChemical Research Institute,68.7,59.72,64.21
250,Mahant Bachittar Singh College of Engineering and Technology,84.53,43.9,64.21
251,Indian Agricultural Research Institute,61.6,66.74,64.17
252,Merchant Engineering College,84.88,43.29,64.09
253,Quantum School of Technology,73.64,54.51,64.07
254,Ganpati Institute of Technology and Management,79.57,48.51,64.04
255,Bhopal Institute of Technology and Science,69.5,58.54,64.02
256,Sinhgad Academy of Engineering,83.52,44.48,64.0
257,Lord Krishna Polytechnic Institute,76.38,51.54,63.96
258,Government Sri Krishnarajendra Silver Jubilee Technological Institute,84.45,43.46,63.96
259,Kuppam Engineering College,79.8,48.03,63.92
260,Sandipani Technical Campus Faculty of Engineering and Polytechnic,83.55,44.24,63.9
261,Punjab Aircraft Maintenance Engineering College,81.03,46.71,63.87
262,Dr Pauls Engineering College,83.76,43.84,63.8
263,Ganpat University Institute of Computer Technology,78.6,48.98,63.79
264,University College of Engineering,75.18,52.38,63.78
265,New Government Polytechnic,77.81,49.64,63.73
266,Swamy Vivekananda Engineering College,65.42,61.86,63.64
267,Beant College of Engineering and Technology,77.24,50.02,63.63
268,Aryan Mukul Polytechnic College,84.76,42.49,63.62
269,Mata Rajkaur Institute of Engineering and Technology,79.67,47.54,63.6
270,Shivganga Charitable Trust,78.45,48.74,63.6
271,Govind Ballabh Pant University of Agriculture and Technology,57.33,69.81,63.57
272,University of Mumbai,66.98,60.08,63.53
273,Government Polytechnic,67.95,59.06,63.51
274,Utkal Gourav Madhusudan Institute of Technology,80.68,46.35,63.51
275,JJ Institution of Information Technology,81.36,45.6,63.48
276,JDT Islam Polytechnic College,77.44,49.49,63.47
277,Dhanalakshmi Srinivasan Institute of Research and Technology,81.73,45.22,63.47
278,Government College of Engineering,84.87,42.01,63.44
279,Assam Science and Technology University,60.41,66.37,63.39
280,Bharat Engineering College,83.54,43.22,63.38
281,Kongunadu College of Engineering and Technology,79.29,47.37,63.33
282,NG Patel Polytechnic,82.71,43.79,63.25
283,Travancore Engineering College,76.64,49.85,63.25
284,Universal College of Engineering and Research,80.35,46.12,63.24
285,Rajeev Institute of Technology,82.1,44.36,63.23
286,JSPMs Bhivarabai Sawant Institute of Technology and Research,75.41,51.04,63.22
287,JNN Institute of Engineering,82.32,44.06,63.19
288,Gonna Institute of Information Technology and Sciences,79.02,47.28,63.15
289,Sri Vaishnavi College of Engineering,77.3,48.97,63.14
290,Brahmanand Institute of Research Technology and Management,72.82,53.46,63.14
291,Abha Gaikwad-Patil College of Engineering,84.15,42.08,63.12
292,Government Polytechnic College,63.48,62.75,63.12
293,College of Engineering,81.86,44.36,63.11
294,Doon Valley Institute of Engineering and Technology,84.79,41.34,63.07
295,Nalanda Institute of Technology,80.01,46.12,63.07
296,PSG Institute of Technology and Applied Research,82.77,43.36,63.06
297,Lakireddy Bali Reddy College of Engineering,79.78,46.3,63.04
298,Shivaji University,79.59,46.39,62.99
299,Himachal Institute of Engineering and Technology,77.93,47.99,62.96
300,Seacom Marine College,68.64,57.16,62.9
301,SD Shanti Niketan Institute of Engineering and Technology,62.89,62.84,62.87
302,Suraj Muchhala Polytechnic,59.09,66.59,62.84
303,Deogiri Institute of Engineering and Management Studies,74.34,51.34,62.84
304,Barkatullah University Institute of Technology,83.3,42.34,62.82
305,Girdhar Shiksha Evam Samaj Kalyan Samiti Group of Institutions,79.32,46.22,62.77
306,BSF Institute of Technology,75.35,49.95,62.65
307,Government Polytechnic,71.96,53.34,62.65
308,Adani Institute of Infrastructure Engineering,82.48,42.8,62.64
309,MNR College of Engineering and Technology,48.5,76.72,62.61
310,Government Leather Institute,69.44,55.7,62.57
311,NPR College of Engineering and Technology,82.05,42.98,62.51
312,Government Polytechnic College,79.73,45.29,62.51
313,Sri YVS and Sri BRM Polytechnic,83.86,40.98,62.42
314,Safa College of Engineering and Technology,47.01,77.83,62.42
315,Shaheed Udham Singh Engineering College,78.65,46.12,62.39
316,Calcutta Institute of Technology,82.64,42.07,62.35
317,Shree Ganesh Group of Institutions,79.29,45.3,62.29
318,Swaminarayan College of Engineering and Technology,83.38,41.17,62.27
319,Baldev Ram Mirdha Institute of Technology,82.45,42.1,62.27
320,Tamilnadu Polytechnic College,81.94,42.42,62.18
321,Vashisth Polytechnic College,75.74,48.59,62.17
322,University College of Science,84.74,39.45,62.1
323,Bhaavya Technical Institute,83.11,41.1,62.1
324,Peoples University,68.55,55.56,62.06
325,Center for Spatial Information Technology,67.8,56.24,62.02
326,Vijayanagara Sri Krishnadevaraya University,82.74,41.22,61.98
327,Shree Saraswati Education Sansthanï¿½s Group of Institutions- Dept of Engineering,82.69,41.26,61.98
328,Syed Ammal Engineering College,83.92,40.0,61.96
329,Baba Ghulam Shah Badshah University,84.6,39.3,61.95
330,Ramrao Adik Institute of Technology,82.65,41.25,61.95
331,Atharva College of Engineering,82.01,41.81,61.91
332,MAM College of Engineering and Technology,81.72,42.05,61.88
333,Devraj Group's Technical Campus,81.46,42.27,61.87
334,Krishna Vidyapeeth of Management and Technology,68.96,54.76,61.86
335,Government Polytechnic,79.8,43.9,61.85
336,Dr APJ Abdul Kalam Institute of Technology,81.83,41.87,61.85
337,ILM College of Engineering and Technology,82.51,41.17,61.84
338,Asian School of Technology,83.84,39.81,61.82
339,PK Institute of Technology and Management,83.26,40.35,61.81
340,Dr Rajendra Gode Institute of Technology and Research,84.91,38.71,61.81
341,UV Patel College of Engineering,79.84,43.77,61.81
342,Government College of Engineering,83.46,40.14,61.8
343,Kavayitri Bahinabai Chaudhari North Maharashtra University,78.72,44.8,61.76
344,Government Polytechnic,81.78,41.72,61.75
345,Genesis Institute of Technology,68.31,55.19,61.75
346,Saraswati Institute of Technology and Management,77.4,46.05,61.72
347,College of Engineering,84.61,38.82,61.71
348,Cambridge Institute of Technology,75.97,47.42,61.7
349,New Satara College Of Engineering and Management,84.64,38.75,61.69
350,JNTUH College of Engineering,52.97,70.38,61.68
351,Radical Technical Institute,82.62,40.72,61.67
352,Leela Krishna Babuji Polytechnic,65.72,57.58,61.65
353,Government Polytechnic College for Girls,83.65,39.6,61.63
354,Mantram Women's Polytechnic College,59.87,63.36,61.62
355,Keltron Toolroom Research and Training Centre,71.17,52.05,61.61
356,DMI Engineering College,84.04,39.18,61.61
357,Al-Ameen Engineering College,79.12,44.07,61.59
358,Rewa Engineering College,82.61,40.54,61.58
359,Dhaneswar Rath Institute of Engineering and Management Studies,72.09,51.08,61.58
360,Vardhaman College of Engineering,76.92,46.24,61.58
361,Government Engineering College,80.06,43.07,61.57
362,Mahendra Engineering College,77.3,45.8,61.55
363,Amity School of Distance Learning,66.94,56.12,61.53
364,Rajiv Gandhi Polytechnic,70.67,52.39,61.53
365,GH Raisoni Polytechnic,84.0,39.03,61.52
366,Sri Nandhanam College of Engineering and Technology,84.74,38.29,61.52
367,Bhimavaram Institute of Engineering and Technology,81.19,41.86,61.52
368,Chhatrapati Shahu Polytechnic,77.23,45.81,61.52
369,Bagula Mukhi College of Technology,78.66,44.37,61.52
370,Bhubaneswar Polytechnic,81.87,41.17,61.52
371,Indira Gandhi Engineering College,76.02,46.99,61.51
372,Sagar Institute of Research and Technology,84.48,38.52,61.5
373,Balaji Institute of Technology and Science,83.88,39.12,61.5
374,Dhanalakshmi Srinivasan College of Engineering,79.15,43.83,61.49
375,Mount Faran Polytechnic,84.08,38.89,61.48
376,Shah and Anchor Kutchhi Polytechnic,80.48,42.45,61.46
377,Bhawani Institute of Technical Education,83.29,39.62,61.45
378,Bansal Institute of Engineering and Technology,78.87,44.0,61.44
379,Siga Polytechnic College,83.71,39.17,61.44
380,Sri Aurobindo Institute of Technology,77.13,45.73,61.43
381,Shri Mata Vaishno Devi University,83.32,39.51,61.42
382,Ch Bansilal Government Polytechnic,81.72,41.13,61.42
383,Gyan Vihar School of Applied and Bio Sciences,68.9,53.92,61.41
384,AKY Polytechnic College,79.76,43.03,61.4
385,Sri Venkateswara College of Engineering,79.06,43.66,61.36
386,Om Institute of Architecture and Design,84.21,38.49,61.35
387,Government Polytechnic,77.72,44.97,61.34
388,Elumalai Polytechnic College,81.52,41.12,61.32
389,Royal School of Architecture,77.74,44.83,61.28
390,GSSS Institute of Engineering and Technology for Women,82.25,40.32,61.28
391,Guru Nanak Dev University,81.53,41.02,61.27
392,NMDC DAV Polytechnic,82.74,39.8,61.27
393,Shadan College of Engineering and Technology,81.54,40.95,61.25
394,Vidya Pratishthans School of Architecture,66.67,55.79,61.23
395,BS Anangpuria Institute of Technology and Management,84.45,38.01,61.23
396,Jawaharlal Nehru Government Engineering College,76.48,45.94,61.21
397,Instrument Design Development Centre,59.54,62.88,61.21
398,Indian Maritime University,81.37,41.03,61.2
399,Sagar Institute of Research and Technology-Excellence,83.02,39.33,61.18
400,BITS College of Polytechnic,81.93,40.42,61.17
401,Shri Yogindra Sagar Institute of Technology and Science,82.03,40.3,61.16
402,SDM College of Engineering and Technology,75.49,46.81,61.15
403,United Institute of Technology,75.68,46.58,61.13
404,College of IT and Management Education,80.34,41.9,61.12
405,Fr Conceicao Rodrigues College of Engineering,80.1,42.14,61.12
406,Samarth College of Engineering and Technology,65.86,56.31,61.08
407,RVS College of Engineering and Technology,84.46,37.67,61.07
408,College of Architecture and Centre For Design,82.7,39.39,61.05
409,Don Bosco Polytechnic College,64.58,57.51,61.04
410,Jawaharlal Nehru Technological University,83.94,38.12,61.03
411,Shri Sitheswarar Polytechnic College,76.15,45.89,61.02
412,Karur College of Engineering,82.62,39.38,61.0
413,RC Patel Institute of Technology,77.77,44.16,60.97
414,Savera Educational Trust Group of Institutions,79.97,41.96,60.96
415,Chhattisgarh Institute of Management and Technology,69.83,52.06,60.95
416,Bansur Polytechnic College,79.31,42.54,60.92
417,Leads Institute of Technology and Engineering,84.17,37.62,60.89
418,Rajarshi Shahu Maharaj Polytechnic,84.52,37.25,60.88
419,Maulana Abul Kalam Azad University of Technology,80.19,41.56,60.88
420,SDNCRES's Late Narayandas Bhawandas Chhabada Institute of Engineering and Technology,70.29,51.45,60.87
421,Utkal University,84.62,37.08,60.85
422,Jalpaiguri Polytechnic Institute,78.08,43.58,60.83
423,Madin Polytechnic College,83.89,37.75,60.82
424,Acropolis Technical Campus,72.42,49.19,60.81
425,DKTE Society's Yashwantrao Chavan Polytechnic,79.73,41.87,60.8
426,Government Polytechnic,79.85,41.68,60.77
427,Rajiv Gandhi College of Engineering,84.14,37.4,60.77
428,Apex Polytechnic Institute,75.44,46.11,60.77
429,Pimpri Chinchwad Polytechnic,69.01,52.44,60.73
430,TSM Jain College of Technology,81.79,39.65,60.72
431,Rajkiya Govind Ballabh Pant Polytechnic,85.0,36.45,60.72
432,Smt Indira Gandhi College of Engineering,84.51,36.9,60.71
433,Dr Radhakrishnan Institute of Technology,81.44,39.93,60.69
434,Sigma Engineering College,84.26,37.12,60.69
435,Dr NGP Institute of Technology,82.19,39.19,60.69
436,Hi-Point College of Engineering and Technology,84.83,36.53,60.68
437,Tamil Nadu Veterinary and Animal Sciences University,67.57,53.74,60.65
438,RSR Rungta College of Engineering and Technology,83.93,37.33,60.63
439,Banasthali Vidyapith,76.58,44.67,60.63
440,JNTUA College of Engineering,71.18,50.05,60.62
441,Khaja Banda Nawaz College of Engineering,80.23,41.0,60.62
442,Amrita Center for Nanosciences and Molecular Medicine,80.48,40.7,60.59
443,Dr DY Patil Polytechnic,82.33,38.8,60.56
444,Jagadambha College of Engineering and Technology,81.26,39.87,60.56
445,Shri Shankaracharya Engineering College,83.4,37.69,60.55
446,Indian Institute of Information Technology,66.05,55.05,60.55
447,Karnal Institute of Polytechnic,80.71,40.32,60.52
448,Apex Professional University,83.49,37.56,60.52
449,Vastu Kala Academy,79.94,41.02,60.48
450,Thiru Seven Hills Polytechnic College,70.22,50.61,60.41
451,Ganapathy College of Engineering,77.11,43.69,60.4
452,Sunder Deep College of Engineering and Research Centre,82.11,38.66,60.38
453,Bharat Institute of Polytechnic,70.52,50.2,60.36
454,Acharya NG Ranga Agricultural University,71.11,49.58,60.35
455,Katgara Polytechnic Institute,82.2,38.48,60.34
456,Chadalawada Venkata Subbaiah College of Engineering,77.34,43.3,60.32
457,Arifa Institute of Technology,73.28,47.31,60.29
458,GH Raisoni Polytechnic,65.4,55.1,60.25
459,Sri Nandhanam Polytechnic College,82.96,37.52,60.24
460,KK Wagh Polytechnic,78.79,41.68,60.24
461,Mahatma Gandhi Institute of Technical Education and Research Centre,73.21,47.25,60.23
462,Vindhya Institute of Technology and Science,82.99,37.44,60.22
463,Jain Polytechnic,76.26,44.16,60.21
464,RSR Rungta College of Engineering and Technology,83.71,36.68,60.2
465,Haryana Institute of Technology,82.51,37.89,60.2
466,Marathwada Mitra Mandal Polytechnic,77.09,43.25,60.17
467,Dronacharya College of Engineering,78.11,42.2,60.16
468,Guru Nanak Institute of Engineering and Technology,82.23,38.08,60.16
469,Raja Balwant Singh Polytechnic,71.0,49.31,60.15
470,Smt Rajshree Mulak College of Engineering for Women,84.23,36.05,60.14
471,Pailan Technical Campus,81.92,38.36,60.14
472,Maya Institute of Technology and Management,84.46,35.81,60.14
